stop_id,stop_code,stop_name,stop_lat,stop_lon
2085,U01712,K Block Jahangir Puri,28.73141,77.16981
2086,U01720,Ashok Vihar Crossing,28.703095,77.167335
2087,U01721,Wazirpur Industrial Area,28.69895,77.16881
2088,U01722,R.K. Puram Sec-9,28.57456,77.16881
2089,U01725,Shalimar Bagh Xing,28.703833,77.1689
2090,U01727,Inderlok Metro Station,28.67363,77.16898
2091,U01736,Gtk Bypass,28.73468333,77.15586667
2092,U01744,Daya Basti Flyover,28.66635,77.17
2093,U01747,Adarsh Nagar,28.71735,77.16995
2094,U01759,Ashok Vihar B-A Blk,28.69593,77.17065
2095,U01763,E Block Jahangir Puri,28.73306,77.17265
2096,U01764,E Block Jahangir Puri,28.73041,77.16795
2097,U01766,Sardar Patel Marg,28.59726,77.17148
2098,U01777,R. K. Puram Sec-12,28.57573,77.17246
2099,U01781,New Sabzi Mandi,28.714572,77.172372
2100,U01785,Deep Market,28.6939,77.17298
2101,U01786,RK Puram Sec- 10,28.57013,77.17313
2102,U01789,Ashok Vihar Central Market,28.6934,77.17325
2103,U01797,Sangam Cinema,28.5736,77.1737
2104,U01807,Shabji Mandi Azad Pur,28.712084,77.174297
2105,U01810,PS Ashok Vihar/B2,28.6924,77.17428
2106,U01814,B-2 Ashok Vihar Ph II,28.693274,77.177899
2107,U01815,Bapu Dham,28.59918,77.17513
2108,U01816,Ashoke Vihar Water Tank,28.68793,77.17521
2109,U01817,South Moti Bagh,28.57743,77.17368
2110,U01820,Azadpur Xing,28.71051,77.17571
2111,U01822,Azadpur,28.7096,77.1758
2112,U01826,Bapu Dham,28.59933,77.17576
2113,U01832,Mohan Singh Market,28.56671,77.1762
2114,U01836,Ashok Vihar Phase II,28.696851,77.177767
2115,U01838,Jahangir Puri Outer Ring Road,28.73425,77.17648
2116,U01840,Jahangir Puri Outer Ring Road,28.7345,77.17648
2117,U01841,Moti Bagh North,28.57726,77.1769
2118,U01845,Railway Colony,28.60073,77.17801
2119,U01851,Azadpur Terminal,28.70756,77.17768
2120,U01868,Azadpur Terminal,28.70786,77.17956
2121,U01886,Rajendra Place Metro Station - BLK Hospital,28.64271,77.18052
2122,U01914,Laxmi Bai College,28.68448,77.18203
2123,U01918,Laxmi Bai College,28.68453,77.18226
2124,U01920,Mukand Pur Xing,28.73236,77.18163
2125,U01925,Sarai Rohilla,28.66223,77.18238
2126,U01934,Anand Parvat,28.65776,77.18343
2127,U01935,Mohammed Pur,28.566109,77.181978
2128,U01937,Sarai Rohilla,28.662383,77.182517
2129,U01939,Bhartiya Sadhu Samaj,28.60383,77.18401
2130,U01941,Mukund Pur X-ing,28.7323,77.18371
2131,U01947,R K Puram More,28.56978,77.186014
2132,U01966,Model Town-III,28.706,77.1852
2133,U01968,Sarai Rohilla,28.66128,77.18465
2134,U01987,Shri Nagar Colony,28.68015,77.18548
2135,U01989,Shri nagar Colony,28.68028,77.18563
2136,U02015,Chowki No 2,28.67695,77.1891
2137,U02027,Khalsa College,28.65523,77.18813
2138,U02036,Chowki No-2,28.6767,77.1888
2139,U02065,Prehlad Market,28.65395,77.19073
2140,U02070,Model Town II,28.70425,77.19063
2141,U02072,Sardar Patel Marg Xing11 Murti,28.611,77.1907
2142,U02073,Prehlad Market,28.65373,77.19075
2143,U02075,Akbar Bhawan,28.586304,77.19081
2144,U02079,Akbar Bhawan,28.585981,77.191126
2145,U02082,U K High Commission,28.59836,77.19131
2146,U02096,Thana DB Gupta Road,28.65265,77.1928
2147,U02104,Vinay Marg-Palika Club,28.58628,77.19346
2148,U02115,Vinay Marg/Palika Club,28.5863,77.1936
2149,U02119,DB Gupta Market,28.6517,77.19466
2150,U02121,Tibiya College,28.6575,77.19478
2151,U02122,Model Town  Xing,28.70313,77.1952
2152,U02123,Talkatora Garden,28.621783,77.194927
2153,U02124,Model Town Xing,28.7032,77.19526
2154,U02127,Tibiya College,28.6576,77.19483
2155,U02132,Adhchini Village,28.53661,77.19673
2156,U02135,Ashoka Hotel,28.59443,77.19601
2157,U02141,Ashoka Hotel,28.59415,77.19615
2158,U02146,Dr Rml Hospital,28.62261,77.19663
2159,U02152,Burari X-ing,28.72855,77.1972
2160,U02181,Burari X-ing,28.72856,77.1993
2161,U02188,Faiz Road,28.6497,77.2001
2162,U02198,Guru Govind Singh Marg,28.65553,77.19886
2163,U02202,Guru Govind Singh Marg,28.65526,77.1991
2164,U02225,North Avenue,28.62108,77.19981
2165,U02241,Karol Bagh Terminal,28.64803,77.20103
2166,U02263,New Police Line,28.699952,77.202114
2167,U02264,Tyag RaJ Marg,28.60911,77.20296
2168,U02269,Race Course,28.59656667,77.2041
2169,U02272,Goal Market-Peswa Road,28.63526,77.2031
2170,U02276,PS Mandir Marg,28.63758,77.20296
2171,U02280,GTB Nagar,28.698994,77.203635
2172,U02282,Race Course,28.59646667,77.2056
2173,U02285,Videocon Tower,28.64415,77.20361
2174,U02292,GTB Nagar,28.6982,77.2065
2175,U02300,Jhandewalan,28.64683,77.20406
2176,U02306,Mandir Marg Crossing,28.64001,77.20456
2177,U02322,Gurudwara Rakab Gunj,28.62103,77.20525
2178,U02323,Gurudwara Rakab Ganj,28.62121,77.20521
2179,U02324,Rani Jhansi Marg,28.64566,77.2049
2180,U02329,Gole Market St Columbus School,28.62891,77.20531
2181,U02332,GOLE MARKET BHAI VIR SINGH MAR,28.63223,77.20553
2182,U02333,Gole Market.,28.63528,77.20551
2183,U02341,Delhi Gymkhana Club,28.59636,77.20568
